ID_Item;Scenario;Country;Energy;Sector;Sub_Sector;Usage;Source;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Prices;N/A;DE;electricity;IND;N/A;N/A;Enerdata;M€15/Mtoe;1357,95;1317,64;1252,28;1218,47;1162,36;1130,31;1007,65;951,7;895,52;785,94;638,2;696,9;722,2;803,63;845,08;908,84;993,99;1028,58;1111,92;1262,41;1274,73;1376,07;1381,21;1500,1;1539,65;1520,93;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69;1473,69
Prices;N/A;DE;coal;IND;N/A;N/A;Enerdata;M€15/Mtoe;118,81;112,79;111,4;106,98;109,59;98,47;92,56;91,17;89,5;77,34;90,86;101,53;110,49;94,17;100,92;150,07;178,3;158,09;197,13;274,16;223,47;281,53;275,41;185,43;152,24;145,25;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46;126,46
Prices;N/A;DE;gas;IND;N/A;N/A;Enerdata;M€15/MtoeNCV;266,56;288,69;257,86;244,08;230,04;223,87;225,59;240,26;226,16;213,17;282,55;423,92;334,85;375,86;349,91;411,9;528,58;519,81;548,1;480,04;470,08;489,01;460,52;491,09;435,4;397,41;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42;340,42
Prices;N/A;DE;oil;IND;N/A;N/A;Enerdata;M€15/Mtoe;190,8;185,2;161,42;144,88;146,76;149,94;158,95;158,08;133,56;153,7;244,15;214,19;230,01;231,59;213,78;293,67;350,87;333,31;457,19;354,11;438,18;559,29;606,72;533,32;471,55;290;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91;239,91
Technical Efficiency Rate;N/A;DE;coal;IND;sidérurgie;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;oil;IND;sidérurgie;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;gas;IND;sidérurgie;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;electricity;IND;sidérurgie;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;coal;IND;métaux non ferreux;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;oil;IND;métaux non ferreux;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
