"";"x"
"gamma.AT";0,717975722793575
"gamma.BE";0,586398950027463
"gamma.BG";0,8
"gamma.CH";0,592592592592593
"gamma.CZ";0,62751112741752
"gamma.DE";0,628469997687397
"gamma.DK";0,553086419753086
"gamma.ES";0,435762916447361
"gamma.FI";0,74074074074074
"gamma.FR";0,549794238683128
"gamma.GB";0,52798283564804
"gamma.GR";0,423651944484654
"gamma.HU";0,447921416701224
"gamma.IT";0,615982394012645
"gamma.LU";0,8
"gamma.NL";0,602469135802469
"gamma.NO";0,523456790123457
"gamma.PL";0,8
"gamma.PT";0,790204745211656
"gamma.RO";0,8
"gamma.SE";0,676673278400173
"gamma.SI";0,66542996708789
"gamma.SK";0,414449302249499
"alpha";-3,92254737590862
"beta.AT";-0,0543375310058354
"beta.BE";-0,0678718865680309
"beta.BG";-0,232147987966548
"beta.CH";-0,04668442442237
"beta.CZ";-0,121369288097833
"beta.DE";-0,0714256429025371
"beta.DK";-0,0419923246246077
"beta.ES";-0,0970753423707311
"beta.FI";-0,0527906024568698
"beta.FR";-0,0811694665601131
"beta.GB";-0,0847594839575513
"beta.GR";-0,232147987966547
"beta.HU";-0,170685741661949
"beta.IT";-0,232147987966547
"beta.LU";-0,232147987217735
"beta.NL";-0,051993049560126
"beta.NO";-0,0387442909056198
"beta.PL";-0,150932711339767
"beta.PT";-0,0814346176114168
"beta.RO";-0,129339810066067
"beta.SE";-0,232147987966518
"beta.SI";-0,119349520257173
"beta.SK";-0,172045306652156
